sigmaMeanNormalized,nNormalized,Target
0.498459335512978,0.284479857519707,0.996918671025956
0.498443650098663,0.285999168938235,0.996887300197326
0.498424014016705,0.287204315086468,0.996848028033409
0.498404485908032,0.288193638449678,0.996808971816064
0.498385410078397,0.289119703976536,0.996770820156795
0.498366118440062,0.290097855441987,0.996732236880125
0.498347180184159,0.29122135492749,0.996694360368319
0.498329975609082,0.292446802380033,0.996659951218163
0.498314904632558,0.293687357916287,0.996629809265115
0.498301336526576,0.294898248520758,0.996602673053151
0.498289817776399,0.296090843483694,0.996579635552798
0.498280388725887,0.297287459787381,0.996560777451774
0.498273296066849,0.29849237575488,0.996546592133698
0.498267887211197,0.299700002694389,0.996535774422393
0.498263811057999,0.300906850802645,0.996527622115998
0.498260859264578,0.302111900894332,0.996521718529156
0.498258835870544,0.303315063955281,0.996517671741088
0.498257651494429,0.304517231062479,0.996515302988858
0.498257041359381,0.305720163461223,0.996514082718763
0.498256904257587,0.306925234084149,0.996513808515173
0.498256974630331,0.308131020523558,0.996513949260663
0.498257068281105,0.30933598893008,0.99651413656221
0.498257078631799,0.310539680735794,0.996514157263597
0.498257046974156,0.311742688485986,0.996514093948311
0.49825703091018,0.312945740706434,0.99651406182036
0.498257035321324,0.314149287306017,0.996514070642648
0.498257043716002,0.315353792820363,0.996514087432004
0.498257045632938,0.316559048543013,0.996514091265875
0.498257043054241,0.317764273687844,0.996514086108482
0.498257041318991,0.318968751925961,0.996514082637981
0.498257041577951,0.320172440521634,0.996514083155902
0.498257042316137,0.321375871392385,0.996514084632274
0.498257042532913,0.322579377081148,0.996514085065826
0.498257042354011,0.323783112471927,0.996514084708022
0.498257042183739,0.324987139483712,0.996514084367478
0.498257042188942,0.326191547824533,0.996514084377884
0.49825704225382,0.327396311115986,0.996514084507639
0.498257042276562,0.328601362076849,0.996514084553123
0.498257042264717,0.329806131650459,0.996514084529434
0.498257042249133,0.331009987592852,0.996514084498266
0.498257042247466,0.332213153245328,0.996514084494932
0.498257042252757,0.333416503193574,0.996514084505514
0.498257042255414,0.334620776082341,0.996514084510828
0.498257042254667,0.335825555855823,0.996514084509333
0.49825704225328,0.337030026335055,0.99651408450656
0.498257042252986,0.338233967496846,0.996514084505972
0.498257042253401,0.33943782690615,0.996514084506801
0.498257042253614,0.34064206241105,0.996514084507228
0.498257042253527,0.341846581769123,0.996514084507053
0.498257042253565,0.343050920797691,0.99651408450713
0.498257042253866,0.344254867525073,0.996514084507732
0.498257042253781,0.345458684348299,0.996514084507562
0.498257042252703,0.34666265437751,0.996514084505406
0.498257042251799,0.347866812360978,0.996514084503598
0.498257042253595,0.34907095533145,0.996514084507189
0.498257042259118,0.350274947554274,0.996514084518237
0.498257042259521,0.35147895321943,0.996514084519041
0.498257042243348,0.352683165590493,0.996514084486696
0.498257042225374,0.353887533684002,0.996514084450747
0.498257042247947,0.355091801966795,0.996514084495894
0.498257042332269,0.356295778558954,0.996514084664538
0.498257042365597,0.357499714734352,0.996514084731194
0.498257042141555,0.358704038956775,0.99651408428311
0.498257041796161,0.359908714039909,0.996514083592323
0.498257042063982,0.361113185670169,0.996514084127965
0.498257043334922,0.362317020278239,0.996514086669845
0.498257044073046,0.363520437392369,0.996514088146092
0.498257041295911,0.364724143854384,0.996514082591822
0.498257035544069,0.36592846329435,0.996514071088138
0.498257037577859,0.367133048521891,0.996514075155718
0.498257056524871,0.368337495098206,0.996514113049742
0.498257071832938,0.369541730275947,0.996514143665877
0.498257040576983,0.370745984373789,0.996514081153965
0.498256946214899,0.371950376267112,0.996513892429798
0.49825694057261,0.373154640802463,0.99651388114522
0.498257217500775,0.374358450781843,0.996514435001549
0.498257522364942,0.375561974148847,0.996515044729883
0.498257134179411,0.376765773729343,0.996514268358822
0.498255205255692,0.377970279729968,0.996510410511384
0.498251555198689,0.379175045723878,0.996503110397378
0.498245842629532,0.380379302299919,0.996491685259065
