RMS Velocity (mm/s),Stiffness ratio,Equivalent Stress Maximum [MPa]
0.886786805,0.001,1.571680031
0.896786805,0.001,1.578680031
0.652534422,0.001,16.77591625
2.308272524,0.001,25.851833
2.644527936,0.001,29.6921195
1.897947397,0.001,29.7273085
1.489505172,0.001,30.7608355
2.811858896,0.001,33.01529
2.447686158,0.001,52.79149217
12.06548698,0.001,52.79646412
2.816042397,0.001,52.82355199
3.198940773,0.001,52.90585669
3.631271422,0.001,53.55695204
4.014339298,0.001,54.08175568
4.538740031,0.001,54.71866988
3.255381715,0.001,54.736206
4.777153954,0.001,55.01589749
15.35070688,0.001,55.32485741
5.198725499,0.001,55.4827523
5.477122497,0.001,55.79525105
5.644729361,0.001,56.02781553
5.969199352,0.001,56.36769611
7.904766127,0.001,56.41857187
5.971587263,0.001,56.47251982
6.069098599,0.001,56.68174338
6.038705818,0.001,56.79041633
5.764655769,0.001,56.79172135
5.698213354,0.001,56.91690827
11.88482903,0.001,57.69603069
9.330067784,0.001,58.17957919
14.77179164,0.001,58.75118659
11.10712346,0.001,59.06219722
17.80003589,0.001,59.66169627
12.8442198,0.001,59.68923629
0.747729093,0.001,59.75612015
13.30795139,0.001,59.98393693
20.98390739,0.001,60.46836547
15.07964544,0.001,60.49784722
14.94541205,0.001,60.60485049
16.09271578,0.001,61.04078537
12.25607283,0.001,61.119811
5.508612841,0.001,61.11994414
6.934575737,0.001,61.15373153
24.33104534,0.001,61.19592259
17.65087992,0.001,61.31599693
17.32722484,0.001,61.48395752
11.24056056,0.001,61.71125373
27.84541436,0.001,61.86045649
19.51864734,0.001,61.88846126
18.39347742,0.001,61.89432309
18.33774149,0.001,62.0553932
5.633886904,0.001,62.08236691
17.59618334,0.001,62.10570673
15.09693265,0.001,62.14261233
13.25686648,0.001,62.16427749
17.09022,0.001,62.23566647
20.76502517,0.001,62.3006447
31.52902052,0.001,62.47335424
21.47979289,0.001,62.65203321
18.38453859,0.001,62.65718622
20.17188072,0.001,62.66078626
18.92218739,0.001,64.05777747
45.73889822,0.001,65.57367291
68.82299483,0.001,66.60094373
87.44288981,0.001,67.61051623
0.896786805,0.001,1.571680031
0.896786805,0.001,1.568680031
0.642534422,0.001,15.77591625
0.782957999,0.001980198,1.735023063
4.718329292,0.001980198,10.58513688
0.883959467,0.001980198,23.4961535
1.97679922,0.001980198,26.2672235
0.992552843,0.001980198,26.967524
0.607992522,0.001980198,29.5417495
4.054685589,0.001980198,29.856285
0.574300531,0.001980198,30.844011
0.205943361,0.001980198,31.403018
1.173555385,0.001980198,32.5800435
1.298488118,0.001980198,53.06619332
1.375775319,0.001980198,53.58548788
1.508148387,0.001980198,54.21801435
0.248419121,0.001980198,54.4523316
1.511027105,0.001980198,54.51129749
1.534559764,0.001980198,54.97101029
1.508370042,0.001980198,55.27920841
1.363593154,0.001980198,55.50326544
1.298525371,0.001980198,55.83829814
1.079838723,0.001980198,55.93702933
3.381586634,0.001980198,56.05671452
0.77317562,0.001980198,56.13530276
0.124101527,0.001980198,56.22162874
0.458296388,0.001980198,56.23617875
0.561838038,0.001980198,56.33621261
7.258911617,0.001980198,57.29540201
48.08156937,0.001980198,57.61832911
48.0672922,0.001980198,57.64629422
3.531675786,0.001980198,57.68566183
11.52921747,0.001980198,58.3268679
26.23922564,0.001980198,58.45836584
4.079332575,0.001980198,58.56210065
4.910439253,0.001980198,59.17803832
16.28493145,0.001980198,59.22109299
4.672808573,0.001980198,59.47597272
21.97500691,0.001980198,59.9651637
5.476005375,0.001980198,59.97250124
19.31282505,0.001980198,60.01556308
4.905669019,0.001980198,60.08618819
16.20014757,0.001980198,60.31539553
4.769554362,0.001980198,60.51126174
22.26820309,0.001980198,60.73353048
6.001204252,0.001980198,60.77793612
4.592265934,0.001980198,60.94596566
10.46171412,0.001980198,60.98666332
26.11748874,0.001980198,61.14298294
5.860146135,0.001980198,61.33241359
11.52384654,0.001980198,61.3400295
3.972224891,0.001980198,61.34294338
25.37438553,0.001980198,61.39021287
2.596728504,0.001980198,61.48702525
5.170878023,0.001980198,61.49081677
0.542782247,0.001980198,61.51508204
1.522578299,0.001980198,61.62437466
5.200885236,0.001980198,61.72652201
3.865111619,0.001980198,61.96051228
28.63172349,0.001980198,61.99650439
0.309523195,0.001980198,62.01757741
3.548517823,0.001980198,62.05021312
21.96697518,0.001980198,62.14034829
4.409372807,0.001980198,63.86313879
16.00174606,0.001980198,65.27309346
34.04587507,0.001980198,66.25233128
56.27933145,0.001980198,67.22756763
0.772957999,0.001980198,1.725023063
4.618329292,0.001980198,11.58513688
