sigmaMeanNormalized,nNormalized,Target
1,0.571428571,0
1,0.714285714,0
1,0.857142857,0
1,1,0
0.493452859,0.525505357,0.986905718
0.487812725,0.567812052,0.975625451
0.464642624,0.639011022,0.929285247
0.44434502,0.674797917,0.88869004
0.439843731,0.681510321,0.879687462
0.428054951,0.699665191,0.856109902
0.397719428,0.753657869,0.795438856
0.395080594,0.760509012,0.790161188
0.389358193,0.775315249,0.778716386
0.376230881,0.830929429,0.752461763
0.370886015,0.885887026,0.741772029
0.231993139,0.322616846,1.391958834
0.221839878,0.40787244,1.331039265
0.207441257,0.499873479,1.244647542
0.193400486,0.581742262,1.160402918
0.193400486,0.581742262,1.160402918
0.184518314,0.635899931,1.107109884
0.177386447,0.684575188,1.06431868
0.168524012,0.760812856,1.011144071
0.166154105,0.785573994,0.996924632
0.162916018,0.825810636,0.977496105
0.161287915,0.855445638,0.967727488
0,0.306349869,1.811668283
0,0.364326466,1.740516272
0,0.445580778,1.618442213
0,0.534418148,1.462709406
0,0.618381925,1.313391574
0,0.66743202,1.231904253
0,0.680207795,1.21402756
0,0.740631008,1.131906925
0,0.796498919,1.070466746
0,0.816256544,1.052150958
0,0.827740024,1.043464093
0,0.875243887,1.005368006
