RMS Velocity (mm/s),Stiffness ratio,Equivalent Stress Maximum [MPa]
1.056730747,10,13.51626625
0.490836799,10,6.051013125
0.648513436,10,8.045260625
0.839903951,10,10.9482105
1.059487462,10,13.78271375
1.27735734,10,16.5931085
1.564234495,10,20.288699
1.833170652,10,23.744013
2.136945724,10,27.649231
2.473056316,10,31.961107
2.793192863,10,52.92649399
3.202915192,10,53.60561245
3.579616547,10,54.15645106
4.003882408,10,54.71269539
4.888296127,10,55.70062991
4.920840263,10,55.72022489
4.810094833,10,55.59585794
0.324860215,10,3.969484563
0.41692704,10,5.118729
0.548653305,10,6.77079275
0.681042671,10,8.441258375
0.816911459,10,10.6555885
0.958293676,10,12.4863225
1.142531633,10,14.86775275
1.31252408,10,17.059491
1.491069794,10,19.359933
1.681387424,10,21.8155215
1.904368401,10,24.686475
2.112537622,10,27.362029
2.305924892,10,29.8497735
2.569854259,10,33.241898
2.822518349,10,52.98448642
3.06725502,10,53.39678946
0.069275498,10,0.83171075
0.084433705,10,1.018842641
0.110562891,10,1.342267906
0.132460147,10,1.613610563
0.159285963,10,1.949420156
0.188812613,10,2.316277188
0.211324543,10,2.598782813
0.248927623,10,3.07075075
0.27821213,10,3.4382605
0.314801931,10,3.900688063
0.352285802,10,4.371212813
0.380985439,10,4.972098875
0.428795815,10,5.591105125
0.464260578,10,6.050248875
0.509619713,10,6.635992625
0.553950667,10,7.21011025
0.03173016,10,0.598244883
0.094638788,10,0.249786762
0.133029884,10,0.348973031
0.17460552,10,0.456326922
0.219288748,10,0.571501266
0.266926829,10,0.694192594
0.317420345,10,0.824003813
0.370698981,10,0.961101594
0.426727347,10,1.105281172
0.485504046,10,1.256568688
0.547054224,10,1.4150795
0.611420721,10,1.580934625
0.678674318,10,1.754379906
0.751668587,10,1.935623531
0.82498882,10,2.124990688
0.901481137,10,2.322743969
0.124495011,10,0.479302904
0.271501485,10,0.751241188
0.414700247,10,1.126785203
0.582980923,10,1.566239844
0.740076415,10,1.976622063
0.9417478,10,2.502769
1.127760857,10,2.985222938
1.32676214,10,3.503342438
1.542462036,10,4.061755125
1.741155982,10,4.576494625
1.988042146,10,5.215830875
2.204529941,10,5.7742375
2.439714968,10,6.382782875
2.68458575,10,7.013937375
2.90992111,10,7.594299625
3.185328096,10,8.30514625
0.314747682,10,0.279504125
0.018346356,10,0.215614392
0.155913644,10,0.526096761
0.256025698,10,0.824132766
0.376871787,10,1.013571469
0.480352901,10,1.288780281
0.619481318,10,1.651885594
0.754600391,10,2.001223656
0.89337118,10,2.360912969
1.031283289,10,2.719684563
1.195315272,10,3.144834688
1.351473853,10,3.548419875
1.495404169,10,3.920342813
1.683175564,10,4.40688475
1.864701509,10,4.874825375
2.041764557,10,5.331852125
0.031727715,10,0.131798863
0.182932999,10,0.136056727
0.003299268,10,0.127301156
0.131089691,10,0.109184539
0.013397075,10,0.098101953
0.031658099,10,0.1600244
0.055143377,10,0.221162756
0.103422673,10,0.30770025
0.128367683,10,0.375268477
0.161379343,10,0.414405328
0.185299199,10,0.489390484
0.212894753,10,0.560803875
0.252766535,10,0.663552688
0.283726025,10,0.744065734
0.324012246,10,0.848066109
0.359716825,10,0.941007891
0.055928598,10,0.157161131
0.089200563,19.8019802,0.243683445
0.125902938,19.8019802,0.34130218
0.165664358,19.8019802,0.446853578
0.20839693,19.8019802,0.560090352
0.25395304,19.8019802,0.680721938
0.302247703,19.8019802,0.808532672
0.353205949,19.8019802,0.943356031
0.406798907,19.8019802,1.085148891
0.463023782,19.8019802,1.233718047
0.521902926,19.8019802,1.389593344
0.583480112,19.8019802,1.552690594
0.64781867,19.8019802,1.723246438
0.717835501,19.8019802,1.901465188
0.787980855,19.8019802,2.087661094
0.86116232,19.8019802,2.282092125
0.104964478,19.8019802,0.464141051
0.251037069,19.8019802,0.74325658
0.387990847,19.8019802,1.098354973
0.549484044,19.8019802,1.527174031
0.699677505,19.8019802,1.930359781
0.89240633,19.8019802,2.447159063
1.070415601,19.8019802,2.921398813
1.260505989,19.8019802,3.430217125
1.466756687,19.8019802,3.979785063
1.656707376,19.8019802,4.485641375
1.892726868,19.8019802,5.11303525
2.099875361,19.8019802,5.662135875
2.324685454,19.8019802,6.2602005
2.558935434,19.8019802,6.880846125
2.774454653,19.8019802,7.45156575
3.037873656,19.8019802,8.15052675
0.019662431,19.8019802,0.291725297
0.017311424,19.8019802,0.186198805
0.144221354,19.8019802,0.509685382
0.246677548,19.8019802,0.70743767
0.353785232,19.8019802,0.997025085
0.450421125,19.8019802,1.258197232
0.584022142,19.8019802,1.611168
0.712935813,19.8019802,1.954890844
0.84608607,19.8019802,2.308683406
0.977870077,19.8019802,2.661021438
1.134566963,19.8019802,3.0788445
1.284046099,19.8019802,3.475699625
1.42153725,19.8019802,3.841248
1.601092517,19.8019802,4.3193515
1.77475065,19.8019802,4.78035575
1.944173127,19.8019802,5.22977625
0.261824636,19.8019802,0.133210447
0.024243549,19.8019802,0.135570127
0.035041885,19.8019802,0.129895215
0.10245046,19.8019802,0.114369289
0.005288224,19.8019802,0.092487867
0.035545323,19.8019802,0.153007701
0.050930888,19.8019802,0.215430631
0.094613293,19.8019802,0.300093891
0.1179541,19.8019802,0.322848171
0.151389278,19.8019802,0.408527364
0.173778972,19.8019802,0.479960254
0.202427618,19.8019802,0.547369634
0.238600653,19.8019802,0.648164156
0.268265139,19.8019802,0.72733225
0.30680839,19.8019802,0.829675453
0.340997241,19.8019802,0.920953578
2.559071174,19.8019802,28.985037
0.20034099,5.05,0.401831188
0.242943643,5.05,0.48565643
0.28577121,5.05,0.569541594
0.328002963,5.05,0.652058719
0.368919922,5.05,0.731838984
0.407801475,5.05,0.807528156
0.443934463,5.05,0.877657672
0.47654612,5.05,0.940924578
0.504810829,5.05,0.995681219
0.527797267,5.05,1.040149516
0.544416253,5.05,1.069744313
0.553347636,5.05,1.086517
0.55289641,5.05,1.085157875
0.54076314,5.05,1.061092094
0.513552688,5.05,1.007863734
0.677466393,5.05,1.371015625
0.852476805,5.05,1.716149688
1.063205302,5.05,2.132616563
1.284261234,5.05,2.5660005
1.494222321,5.05,2.97693075
1.758504659,5.05,3.492502688
1.979485154,5.05,3.921158813
2.233959734,5.05,4.416724313
2.488616854,5.05,4.909561125
2.721110359,5.05,5.359660125
3.008011729,5.05,5.914171375
3.234921023,5.05,6.349807375
3.496237099,5.05,6.854286125
3.747723997,5.05,7.336819625
3.970600665,5.05,7.764678625
4.245594144,5.05,8.29187225
0.459852163,5.05,0.945625891
0.545386691,5.05,1.167505703
0.722533558,5.05,1.470296688
0.860286877,5.05,1.74782125
0.997204334,5.05,2.009949875
1.136356965,5.05,2.286119688
1.311055385,5.05,2.631211188
1.452635974,5.05,2.90719875
1.592614688,5.05,3.181708125
1.749513671,5.05,3.491061625
1.918951049,5.05,3.8224305
2.056010067,5.05,4.089099438
2.179972827,5.05,4.332183875
2.355411649,5.05,4.674522813
2.50165537,5.05,4.958885125
2.623012289,5.05,5.1941145
0.05477888,5.05,0.216318164
0.136461109,5.05,0.253688547
0.116963289,5.05,0.317774727
0.171457184,5.05,0.369007555
0.211505452,5.05,0.424863805
0.239483314,5.05,0.491560508
0.252215657,5.05,0.532418313
0.286072725,5.05,0.606580508
0.326575246,5.05,0.659531719
0.355711905,5.05,0.719803234
0.385568012,5.05,0.788164266
0.405714847,5.05,0.826440969
0.445812941,5.05,0.903741453
0.469899736,5.05,0.952418625
0.499577262,5.05,1.011258906
0.531608704,5.05,1.075399578
0.147025916,5.05,0.306260094
0.186828664,10,0.385848148
0.227122335,10,0.467086563
0.267622992,10,0.548456273
0.307540642,10,0.628541781
0.346260378,10,0.705984563
0.38305833,10,0.779371453
0.417231582,10,0.847445313
0.448036939,10,0.908708438
0.474669505,10,0.961584813
0.496220309,10,1.004297906
0.511629973,10,1.032223125
0.519598834,10,1.047457266
0.518457964,10,1.044623109
0.505920034,10,1.019055281
0.478568953,10,0.9640865
0.62355632,10,1.311134
0.793445855,10,1.645593438
0.992228277,10,2.048625406
1.201457344,10,2.469594688
1.400331035,10,2.868828875
1.650679857,10,3.370325625
1.860957593,10,3.788563063
2.102468163,10,4.271013875
2.34487839,10,4.752054813
2.566093579,10,5.191210375
2.839298919,10,5.732604
3.056021407,10,6.158994375
3.304865211,10,6.651520875
3.545004874,10,7.123696125
3.757655621,10,7.542055
4.020195454,10,8.057833625
0.43273624,10,0.899886375
0.523721799,10,1.112859391
0.655000098,10,1.404396563
0.798706897,10,1.672392063
0.921975821,10,1.926142219
1.058475114,10,2.192666063
1.222314313,10,2.527236656
1.356691122,10,2.794453
1.489525661,10,3.061009813
1.637473702,10,3.360248813
1.797610894,10,3.6818715
1.927264035,10,3.941084688
2.044161782,10,4.176437313
2.210194245,10,4.508837375
2.348840237,10,4.7851195
2.463873476,10,5.013705125
0.056905439,10,0.204843313
0.029177289,10,0.239901262
0.074596261,10,0.301236941
0.15363784,10,0.350067734
0.190600753,10,0.403724945
0.222783303,10,0.467418016
0.236646039,10,0.506455398
0.27019647,10,0.577766898
0.296521699,10,0.628396883
0.321801519,10,0.68647725
0.355461147,10,0.751903859
0.376229174,10,0.788408656
0.411508605,10,0.862902422
0.433465932,10,0.909359813
0.463055447,10,0.966065203
0.492582098,10,1.027390016
