RMS Velocity (mm/s),Stiffness ratio,Equivalent Stress Maximum [MPa]
0.650182366,10,15.5404799
1.215130091,10,15.6723733
1.993253827,10,15.826773
2.956494689,10,17.70414925
4.029549658,10,18.4339641
5.091637373,10,18.7966152
5.991786718,10,19.1115118
6.496280432,10,19.4639924
6.415203214,10,19.8139987
5.558863282,10,20.1625124
1.917481422,10,20.4661589
5.362547934,10,20.813622
14.35159147,10,62.63123045
24.77591485,10,63.85660907
36.49950027,10,64.83637369
49.25560206,10,65.68411798
2.74027884,10,54.22090583
8.247897029,10,65.4129343
18.16852391,10,66.44108683
41.63081944,10,67.31694783
25.24081618,10,67.98515593
105.576694,10,68.68950961
172.5213751,10,69.15185088
251.9688047,10,69.63647948
248.9704788,10,70.04511222
257.4883178,10,70.33061046
273.8169953,10,70.62123981
283.9317322,10,70.71522976
297.4639386,10,70.83098972
310.1101965,10,70.7733414
320.371747,10,70.59546088
331.3567638,10,70.21055148
0.231593847,10,55.60522392
0.459969044,10,55.25035955
1.60703063,10,55.44473062
3.81745398,10,55.11791431
7.446229458,10,54.83345288
11.54603064,10,66.6234114
19.89245415,10,67.24187251
31.28643334,10,67.64646723
47.3279804,10,68.01374287
0.389188528,10,68.38936517
46.92922533,10,68.71642777
82.73231238,10,68.89843685
97.68532217,10,69.04472287
129.6698228,10,69.29105175
142.9673806,10,69.3616208
152.093336,10,69.3091129
0.016003847,10,24.5496958
0.073373318,10,31.3022218
0.315800309,10,54.11183862
0.308200717,10,54.31507209
0.284254551,10,54.12341176
0.278994441,10,54.38352669
0.306993723,10,54.40922465
0.422626734,10,54.36535136
0.456899405,10,54.45493692
0.570550561,10,54.35286255
0.646650791,10,54.49363007
0.663727522,10,54.51018528
0.867754221,10,54.48741002
0.903517008,10,54.54034212
1.081377268,10,54.4766131
1.157969236,10,54.56796191
0.006183982,10,0.739289781
0.229399651,10,3.982679125
0.290423632,10,5.035808
0.357165933,10,6.185935375
0.429429114,10,7.429466625
0.507175922,10,8.765759
0.592187047,10,10.2269225
0.749766827,10,12.91487925
0.765115023,10,13.14500375
0.77162683,10,13.23540825
0.806584954,10,13.2990025
0.817254186,10,13.35691725
0.827655196,10,13.4033935
0.83860755,10,13.452139
0.908493996,10,13.490525
0.92881918,10,13.53445125
0.687003136,10,11.952407
0.885605812,10,15.38521375
1.128137112,10,19.5765035
1.399189234,10,24.2491575
1.666665077,10,28.8558865
2.016425133,10,34.8718465
2.339601517,10,53.49663853
2.72077322,10,54.24827517
3.581702709,10,55.60683052
3.53705883,10,55.52878941
3.425002098,10,55.35544151
3.384530544,10,55.08586003
3.354430199,10,54.98811763
3.272175789,10,54.79701001
3.466665745,10,54.69223508
3.451883793,10,54.52079321
0.468723476,10,8.170201375
0.590413809,10,10.282485
0.76122582,10,13.2428675
0.928223133,10,16.1320485
1.096278429,10,19.0350785
1.273423433,10,22.096381
1.501023769,10,26.0248965
1.706153154,10,29.557887
1.920074224,10,33.239172
2.1520257,10,53.0861386
2.419173717,10,53.6677879
2.664685249,10,54.1474593
2.894282341,10,54.55827309
3.207564354,10,55.06859178
3.505170345,10,55.5089043
3.798425198,10,55.90746566
0.105341896,10,1.841942844
0.125952065,10,2.200999188
0.161062926,10,2.812166375
0.190399587,10,3.32264775
0.224582851,10,3.91609375
0.263735652,10,4.596805563
0.292114913,10,5.089132125
0.339657068,10,5.913573375
0.376686454,10,6.55546125
0.421442091,10,7.329851625
0.468917191,10,8.152769625
0.50380826,10,8.756213
0.562414527,10,9.769807
0.605806708,10,10.5201705
0.660046935,10,11.45627125
0.714629889,10,12.40020475
0.101692975,10,1.853627719
0.133801252,19.8019802,2.435502813
0.1693964,19.8019802,3.079555438
0.208325684,19.8019802,3.782935125
0.250481069,19.8019802,4.543441
0.295832753,19.8019802,5.360663125
0.345394015,19.8019802,6.253909
0.437483191,19.8019802,7.9009545
0.446528196,19.8019802,8.0431935
0.450327992,19.8019802,8.098620375
0.453069806,19.8019802,8.13756925
0.4555583,19.8019802,8.1730205
0.457599759,19.8019802,8.201469875
0.459700823,19.8019802,8.231300125
0.495374203,19.8019802,8.25479375
0.502184033,19.8019802,8.281673
0.400677323,19.8019802,7.3088615
0.516533852,19.8019802,9.408167
0.658005476,19.8019802,11.9713085
0.816106796,19.8019802,14.82888225
0.972121954,19.8019802,17.64615075
1.176118851,19.8019802,21.3252415
1.364588737,19.8019802,24.7181715
1.586794853,19.8019802,28.7256165
2.090275288,19.8019802,53.15076724
2.0647645,19.8019802,53.07394879
1.999378204,19.8019802,52.90071679
1.898467541,19.8019802,33.99572
1.864910126,19.8019802,33.3378495
1.798331738,19.8019802,32.0876045
1.892268658,19.8019802,31.422167
1.859605312,19.8019802,30.363164
0.273369253,19.8019802,4.99595825
0.344350934,19.8019802,6.287661375
0.443980098,19.8019802,8.098020375
0.541388988,19.8019802,9.8648745
0.639408827,19.8019802,11.64022575
0.742733479,19.8019802,13.5123525
0.875502825,19.8019802,15.914848
0.995159149,19.8019802,18.0755015
1.119941473,19.8019802,20.3268615
1.255214214,19.8019802,22.770065
1.411139965,19.8019802,25.57928
1.554250717,19.8019802,28.154936
1.688182354,19.8019802,30.566033
1.870930195,19.8019802,33.850605
2.044558525,19.8019802,53.05009329
2.215504646,19.8019802,53.44846437
0.061437488,19.8019802,1.126286969
0.073455274,19.8019802,1.345852281
0.09393692,19.8019802,1.7195885
0.111047179,19.8019802,2.031754906
0.130981207,19.8019802,2.394668063
0.153824687,19.8019802,2.810936125
0.170372427,19.8019802,3.112013875
0.198103487,19.8019802,3.616192938
0.219702721,19.8019802,4.0087335
0.245809555,19.8019802,4.482316875
0.273503363,19.8019802,4.985564125
0.293850899,19.8019802,5.354605875
0.328034163,19.8019802,5.974475625
0.353351235,19.8019802,6.433365875
0.384986401,19.8019802,7.00585625
0.416830182,19.8019802,7.583122875
0.024802983,19.8019802,0.653136891
0.298846513,5.05,3.547521063
0.384796411,5.05,4.5886805
0.479847193,5.05,5.74400825
0.583663583,5.05,7.009553625
0.695928931,5.05,8.6060265
0.816382468,5.05,10.08401875
0.944785774,5.05,11.65757525
1.080900431,5.05,13.32368825
1.224592328,5.05,15.08026825
1.376211643,5.05,16.93143875
1.547545195,5.05,19.0252595
1.763507724,5.05,21.623117
1.825004816,5.05,21.8538605
1.8466115,5.05,21.9683705
1.865714788,5.05,22.05872
0.840373337,5.05,9.83809625
1.110225916,5.05,13.09067575
1.437783241,5.05,17.05727825
1.813560724,5.05,21.617234
2.18641758,5.05,26.1492595
2.677351236,5.05,32.1337565
3.137499094,5.05,53.29269385
3.657281399,5.05,54.05389713
4.232466221,5.05,54.77836352
4.780173302,5.05,55.38215255
5.481243134,5.05,56.06117107
6.125986576,5.05,56.61198887
6.852686405,5.05,57.1688067
8.362174034,5.05,58.15384433
8.407354355,5.05,58.16739443
8.410215378,5.05,58.04248792
0.556282699,5.05,6.446539875
0.713869929,5.05,8.317903625
0.939331949,5.05,11.0095675
1.165911555,5.05,13.73317275
1.398399472,5.05,16.5635035
1.640379429,5.05,19.4794685
1.955658197,5.05,23.293933
2.246528864,5.05,26.832465
2.552092075,5.05,30.5566585
2.877742052,5.05,34.512226
3.259301186,5.05,53.33927758
3.615498543,5.05,54.00164292
3.946423531,5.05,54.43666531
4.398047924,5.05,54.97474067
4.830360413,5.05,55.44008191
5.249083042,5.05,55.85229992
0.115714036,5.05,1.347599531
0.141486526,5.05,1.651878094
0.189330429,5.05,2.177938281
0.226816162,5.05,2.619346375
0.272721052,5.05,3.166309438
0.323265791,5.05,3.76329575
0.361796468,5.05,4.223568938
0.426150858,5.05,4.9925485
0.476270914,5.05,5.591324625
0.538885593,5.05,6.345383
0.603035092,5.05,7.11202875
0.652134418,5.05,7.714660875
0.733964145,5.05,8.70127275
0.794656575,5.05,9.432834
0.872269273,5.05,10.37396275
0.948138535,5.05,11.28801075
0.129915774,5.05,1.611082469
0.174589455,10,2.275201844
0.224817544,10,2.92408375
0.280365348,10,3.640617375
0.341035426,10,4.422151063
0.406652689,10,5.2663145
0.477053225,10,6.17092325
0.552095473,10,7.134039125
0.631645322,10,8.1538195
0.715628266,10,9.228971
0.804230571,10,10.36188575
0.90393424,10,11.637855
1.031577587,10,13.24657575
1.0445714,10,13.39025475
1.051351428,10,13.46078325
